id,name,portion_size,protein_g,green_carbs_g,net_carbs_g,mixed_fat_g,pure_fats_g,fiber_g,gi,gl,calories,recommendation_type
food_0417,Plum (g),100 g,0.7,0.0,11.1,0.5,0.0,2.8,39.0,3.5,52.0,MR
food_0418,Plum (piece),1 fruit - 66 g,0.5,0.0,7.3,0.3,0.0,1.9,39.0,2.1,34.0,MR
food_0419,Blueberry (g),100 g,0.7,0.0,14.5,0.3,0.0,2.4,53.0,6.5,57.0,MR
food_0420,Blueberry (piece),1 Piece - 1.4g,0.0,0.0,0.2,0.0,0.0,0.0,53.0,0.1,1.0,MR
food_0421,Mango (g),100 g,0.6,0.0,16.9,0.4,0.0,2.0,55.0,9.0,74.0,OR
food_0422,Mango (fruit),1 medium - approx 160 g,1.0,0.0,27.9,0.7,0.0,3.3,56.0,15.624,120.0,OR
food_0423,Raw Mango / Kairi,100 g,1.0,0.0,15.0,0.4,0.0,1.6,50.0,7.5,60.0,MR
food_0424,Jamun (fruit),1 piece,0.2,0.0,3.1,0.1,0.0,1.1,25.0,0.775,19.0,MR
food_0425,Wild Fruit,100 g,2.3,0.0,16.0,1.0,0.0,7.2,40.0,6.2,82.0,MR
food_0426,Raw Figs,1 small - 30 g,0.3,0.0,7.7,0.0,0.0,1.2,35.0,2.695,30.0,OR
food_0427,Mixed/generic fruits,100 g,0.6,0.0,10.6,0.0,0.0,1.8,55.0,5.8,47.1,OR
food_0428,Guava (g),100 g,2.6,0.0,14.3,1.0,0.0,5.4,65.0,5.5,68.0,MR
food_0429,Guava (fruit),1 medium - approx 70 g,1.8,0.0,10.0,0.7,0.0,3.8,65.0,4.0,48.0,MR
food_0430,Melon Fruit (g),100 g,0.3,0.0,3.5,0.2,0.0,0.8,70.0,2.0,17.0,MR
food_0431,Melon Fruit (cup),1 cup - approx 160 g,0.5,0.0,5.6,0.3,0.0,1.3,70.0,3.5,27.0,MR
food_0432,Watermelon (g),100 g,0.2,0.0,3.3,0.2,0.0,0.6,72.0,4.0,16.0,MR
food_0433,Watermelon (cup),1 cup - approx 150 g,0.3,0.0,5.0,0.3,0.0,0.9,72.0,6.0,24.0,MR
food_0434,Banana,1 medium piece - approx 100 g,1.2,0.0,27.2,0.3,0.0,1.8,52.0,17.0,116.0,OR
food_0435,Apple (g),100 g,0.2,0.0,13.4,0.5,0.0,3.2,40.0,4.0,59.0,OR
food_0436,Apple (fruit),1 medium - approx 180 g,0.4,0.0,24.4,0.9,0.0,5.8,40.0,7.0,107.0,OR
food_0437,Cheeku / Chiku  (g),100 g,0.7,0.0,21.4,1.1,0.0,10.9,37.0,4.0,98.0,MR
food_0438,Cheeku / Chiku (fruit),1 fruit - approx 60 g,0.4,0.0,12.8,0.7,0.0,6.5,37.0,2.0,59.0,MR
food_0439,Litchi / Lychee (g),100 g,0.8,0.0,16.5,0.4,0.0,1.3,50.0,8.0,66.0,OR
food_0440,Litchi / Lychee (fruit),1 fruit - 10 g,0.1,0.0,1.6,0.1,0.0,0.1,50.0,0.8,6.0,OR
food_0441,Figs / Anjeer (fruit),1 medium - 50 g,0.7,0.0,2.0,0.1,0.0,2.5,51.0,1.0,19.0,OR
food_0442,Figs / Anjeer (dried),9 g,0.3,0.0,4.8,0.1,0.0,0.8,62.0,2.2,21.0,OR
food_0443,Cherry (fruit),1 medium - 8.2g,0.1,0.0,1.1,0.0,0.0,0.2,22.0,0.23,5.0,OR
food_0444,Orange (g),100 g,0.7,0.0,10.9,0.2,0.0,1.1,42.0,4.0,48.0,OR
food_0445,Orange (fruit),1 medium - 130 g,0.9,0.0,14.3,0.3,0.0,1.5,42.0,5.5,63.0,OR
food_0446,Papaya (g),100 g,0.6,0.0,7.2,0.1,0.0,2.6,60.0,7.0,32.0,OR
food_0447,Papaya (cup),1 cup - approx 150 g,0.9,0.0,10.4,0.2,0.0,3.8,60.0,10.0,46.0,OR
food_0448,Pineapple (g),100 g,0.4,0.0,10.8,0.1,0.0,2.8,66.0,6.0,46.0,OR
