id,name,portion_size,protein_g,green_carbs_g,net_carbs_g,mixed_fat_g,pure_fats_g,fiber_g,gi,gl,calories,recommendation_type
food_0581,Ghee (g) - with carbs,1g,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,NR
food_0582,Corn Flakes,Raw 1 cup - 35 g,1.8,0.0,30.3,0.3,0.0,1.5,81.0,25.0,131.0,NR
food_0583,Carrot Juice,1 glass - 250.0 ml,2.2,0.0,15.0,0.3,0.0,1.0,45.0,14.1,94.0,NR
food_0584,Bread - white,1 Slice - approx 20 g,1.7,0.0,11.4,0.2,0.0,0.5,90.0,10.26,54.0,NR
food_0585,Sabudana / Sago,Dry half cup - 75 g,0.15,0.0,66.0,0.15,0.0,0.7,67.0,42.0,267.0,NR
food_0586,Sweet Potato/ Yam,1 medium - 151 g,2.1,0.0,26.9,0.1,0.0,4.0,51.0,11.2,115.0,NR
food_0587,Murmura / Puffed Rice (bowl),1 katori - 10 g,0.7,0.0,6.6,0.0,0.0,0.2,73.0,4.5,29.0,NR
food_0588,Chicken Sausage - Preservative,1 medium - approx 35 g,5.8,0.0,0.4,0.0,4.2,0.0,28.0,0.1,63.0,NR
food_0589,Boiled Potato,100 g,2.2,3.5,21.8,0.0,0.0,3.5,80.0,17.44,72.0,NR
food_0590,Sugar - Granulated,1 teaspoon - 8gm,0.0,0.0,8.0,0.0,0.0,0.0,63.0,5.04,31.0,NR
food_0591,Sugar cube,4 g,0.0,0.0,4.0,0.0,0.0,0.0,63.0,2.52,15.0,NR
food_0592,Jaggery Powder,1 teaspoon - approx 6.5 g,0.0,0.0,6.0,0.0,0.0,0.0,85.0,5.1,31.0,NR
food_0593,Honey (spoon),1 teaspoon - approx 10 g,0.0,0.0,8.0,0.0,0.0,0.0,60.0,5.0,32.0,NR
food_0594,Honey (g),1g,0.0,0.0,0.8,0.0,0.0,0.0,60.0,0.5,3.0,NR
food_0595,Yakult - Red,1 bottle - 80 ml,1.0,0.0,12.0,0.0,0.0,0.0,81.0,8.3,50.0,NR
food_0596,Yakult - Blue (light),1 bottle - 80 ml,1.0,0.0,6.0,0.0,0.0,2.0,77.0,4.3,25.0,NR
food_0597,Coconut milk - packaged,1 glass - 250 ml,1.5,0.0,2.0,0.0,18.0,0.0,52.0,1.6,180.0,NR
food_0598,Tamarind-jaggery Meetha Chutney,1 spoon 15 g,0.0,0.0,5.4,0.0,0.0,0.5,53.0,2.862,21.0,NR
food_0599,Date (non sugar coated),1 medium - approx 16g,0.4,0.0,12.2,0.0,0.0,1.4,46.0,5.0,50.0,NR
food_0600,Whey lean protein,1 scoop - 30 g,25.0,0.0,2.0,0.0,1.0,0.0,87.0,1.7,116.0,NR
food_0601,Cold drink / Soft drink - Regular,1 glass - 250.0 ml,0.0,0.0,32.5,0.0,0.0,0.0,53.0,17.0,130.0,NR
food_0602,Diet coke / soft drink,1 glass - 250 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NR
food_0603,Fruit Juice,1 glass - 250.0 ml,0.4,0.0,27.0,0.0,0.0,0.0,60.0,18.0,115.0,NR
food_0604,Juice box - packaged,100 ml,0.0,0.0,15.6,0.0,0.0,0.0,60.0,9.36,63.0,NR
food_0605,Gatorade,250 g bottle,0.0,0.0,15.0,0.0,0.0,0.0,89.0,13.0,60.0,NR
food_0606,Red wine,100 ml,0.1,0.0,3.0,0.0,0.0,0.0,62.0,1.4,85.0,NR
food_0607,White wine,100 ml,0.1,0.0,2.6,0.0,0.0,0.0,64.0,1.4,82.0,NR
food_0608,Gin,30 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,NR
food_0609,Whisky,30 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,NR
food_0610,Vodka,30 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,NR
food_0611,Beer,330 ml,0.0,0.0,13.0,0.0,0.0,0.0,100.0,7.5,154.0,NR
